no,row1,row2,row3,row4,row5
1,978014,807,75843,6389,5078362
2,3215986,60428,-9821,12463587,751693
3,261540,45617,57108623,9027461,864739501
4,91485670,492650781,5872039,-302489,7860235419
5,1045276,786429053,41709326583,50198674,3564987120
6,642,396217,7812034,21038,4798
7,9421735,-1352,658,54217,234975
8,32051,964,532471,8210,2093851
9,1406298,571089,-571,21348,6049
10,83124,587,7853421,186349,6125
11,6402,301579,71584296,23147,8740923
12,3816952,7146,-908763,85216079,25670
13,8023,3724180,78026,43506781,587403
14,765089,-5870,38465,2417309,60819253
15,8475,37016,1649728,93215674,419687
16,24958,108935627,59246873,3549671,496028
17,587036924,1953074,947168,78514,-69540832
18,7560291,42067539,517623,82904,651297430
19,327694,76149032,-28356,429178356,1470632
20,752684091,59230467,19086,2895304,391458
21,35947802,-5706842,97518,864519,654708123
22,8147623,152679803,72658401,21035,637204
23,78439152,1942637,82745,-247689,389546071
24,51407293,905462738,2091387,610874,10326
25,78694215,4827361,-25138,127690,593684107
26,7819035264,180429,96180745,531724609,6132594
27,9463105782,563428197,2850934,728941,-32806451
28,9543186270,798321,284613570,31972405,5168934
29,7130642589,807149623,-1409582,654798,29354081
30,8093162,4187592603,105928463,305271,21309748
31,7301265894,4612537,295603781,-63280719,904321
32,748935,1286745390,93264507,3214058,215839640
33,9286473105,510863,-438195270,80923465,7236904
34,50821349,918307456,408157,3725184,7935246180
35,8947601235,102384,-54087139,219463078,6480531
36,32891546079,2840169735,861524039,18632940,5736049
37,234807159,96741820532,56798021,-7190623584,6283591
38,27305849,5670392184,63809571246,7460915,891043672
39,45178036929,7451836902,12963754,-9174386,689412703
40,26415978,672930185,5213807,1452789360,90428356716
41,317069528,9607184325,-68730215,45912876032,5286047
42,81450679,5024739,715062498,39571482607,9318526740
43,67184209352,43809125,-1520369874,8519602,702958316
44,1627039,8630275419,356720841,93148657,63845107296
45,80765391,984207153,-7645109,47503628915,3854697210
46,85240396174,432078615,17380246,5308246791,784315602079
47,287415396089,71895402,327908456,9581706432,-62489513078
48,938124065,19346580,3781902645,62945108374,479238501084
49,394168275512,451820963,89042576315,-6127593804,13648725
50,71286490537,457609213,317405629053,5348679201,24316580
51,659234178,731052469876,-5698137042,93147256,85243167905
52,817450963051,5236704981,41368509,18760924359,249851730
53,25481963,50719234686,-3174089526,702194635364,649387025
54,7845102936,217580463053,35146092787,836907514,97241568
55,201849653056,985162037,-43957026180,3605741892,56807193
56,52137486095,8412307965,63140978,280916754047,496820135
57,74953012863,-14285736,821059736,309567218784,9826413705
58,13940678,3127948605,615302879,790825364042,40368925712
59,15328079,649723580649,4217038965,360289751,-71430562985
60,46798135209,13697245,301468795012,907658423,7159264308
