no,row1,row2,row3,row4,row5
61,27390568417,924137086015,6138579420196,305789461,8564197203
62,16925743089,8530762149,-271395048032,4012839567720,368247159
63,240831765024,729480163,4253980176,6850971324048,97520864134
64,64219308578,9356801742370,7419583260,-132965780842,584732106
65,28435907165,501647892014,926571048,6950782431,8714306295947
66,2503941867619,598734210,16987254304,-946215370169,4216759830
67,31974625805,4812690357,895327106,1035482796265,501397682032
68,201473698320,1796580243,5849310672387,-35918024768,810239547
69,1956872304,92140835767,608429375,3560984721879,540387619001
70,589670341,16358720498,4685792130,-675198403967,9203481765169
71,1860297435,8615034297031,251670398070,30594218765,617829034
72,2980476531,732406198,5604237819542,-458920137013,81096473254
73,295043687079,83496521078936,3426950187947,1836927450,62480739516
74,361027489719,54109826731,2839054716241,8032157496,-13072469856589
75,750649831068,42678053195720,3659871042,8756394102624,20583791464
76,9471526803397,6832097154,48162970358,-318529406704,75463098127039
77,261048359018,4957260183429,3452178069,95870436216,59708321461486
78,387645192783,-6421780953,4210357986021,51683092476923,73968251405
79,2578419063,475361982089,87205693142439,72650419389,6302715948316
80,809735462185,1926354807542,62098143750431,9610235487,-56082137947
81,80356742193,2509874136,7126508934180,98613247050198,590261378035
82,65437190283107,-893524716018,5914623087,27081534698,7243051968134
83,5027613948,8132479560925,17382549601,24301867598260,731405296060
84,3460297185,5931780624031,268041379409,94325068172480,-14952630875
85,18072965439,21396874050671,509281647026,432179085634086,9238106745247
86,4981057623643,-986307215475609,73981024569,38906754218754,607381925076
87,24875690316798,420135967830591,964305178070,6891530427821,15904286373
88,10942357685817,-6092875431125,25914036876,402769185310587,973680125765
89,4687513029273,109264385741302,362108754069,91284560735,61537290485193
90,87635290142,40329716582730,682104973745,971285604302947,-3750489612261
91,741239658050896,86297053141,5764093182706,902567814012,21689403753452
92,73894205163,42508937619865,-524367910871430,687245019405,8509642173498
93,36875402974816,465017389256094,510642793053,8351792064937,61847593206
94,46237805918,971563280482650,70451382693105,-278651093514,8204691537605
95,986231045727530,386742901068,10753942689,24817039653589,5019264378561
96,4190582736538,64052731898231,-395847120640916,137094582127,82547690134
97,6502987431356172,863971542059,90134762583954,5741236980102,196082473561427
98,690827531829,98210465739178,2540183796048795,-1035264798809,409635271838941
99,761059248315068,4713862905730291,8536291740875,12798536048326,905263814024
100,7204359861673459,389750214548,108563749290318,40752193683604,-9786153204085
101,3840196257915084,76245098132054,837612495032,2619578430924,491862037584597
102,123586079405642,-26173904851743,9361750482271,549201768034,4610398725413258
103,89526374019840,913485762073285,3425781906340,548712390010,7653810942906831
104,243691578046570,8640539172805,51086342979538,-308271964624,7946538210629475
105,8704529136746921,294705138608945,5861023794328,713524680080,15869372401873
106,943528061091,61097532840689,8039472156572894,389475601252097,-1390642857631
107,589174623091,34178295609617,6128970354730,863957401269507,1897235046956032
108,24715683098953,17234580937652,8710534296716923,-9736204185792,630291478276
